exp_rep, bfly, algo, time, iterations
4, fes, 2063441637005.75, 48.34, 68217
4, fes, 2063186270020.09, 48.95, 69075
4, fes, 2064145140793.14, 49.56, 69895
4, fes, 2064651826656.84, 50.17, 70714
4, fes, 2063979388290.51, 50.78, 71529
4, fes, 2068576814220.69, 51.39, 72353
4, fes, 2068613903322.06, 52.00, 73171
4, fes, 2069601309017.15, 52.61, 74011
4, fes, 2067286985635.33, 53.22, 74827
4, fes, 2065293143462.85, 53.83, 75669
4, fes, 2067623725665.93, 54.44, 76539
4, fes, 2066554130460.52, 55.05, 77395
4, fes, 2063357076471.01, 55.66, 78258
4, fes, 2061097739121.64, 56.27, 79128
4, fes, 2062368917783.96, 56.88, 79991
4, fes, 2062321428280.32, 57.49, 80860
4, fes, 2058124326361.86, 58.10, 81771
4, fes, 2058701080643.11, 58.71, 82656
4, fes, 2055669753626.93, 59.32, 83560
4, fes, 2055111151056.05, 59.93, 84432
5, fes, 4921609953873.39, 0.01, 16
5, fes, 2075559058885.12, 0.62, 895
5, fes, 1874232596772.46, 1.23, 1781
5, fes, 1983951278654.65, 1.84, 2672
5, fes, 1921722269788.74, 2.45, 3565
5, fes, 1959769492711.30, 3.06, 4460
5, fes, 1940404635656.53, 3.67, 5336
5, fes, 1993792149279.43, 4.27, 6190
5, fes, 1993408899610.07, 4.87, 7095
5, fes, 2018388860867.03, 5.47, 7973
5, fes, 2013810722638.88, 6.07, 8848
5, fes, 2003599368116.55, 6.67, 9726
5, fes, 1992090134303.90, 7.27, 10605
5, fes, 1993641191054.37, 7.87, 11479
5, fes, 1996951438384.06, 8.47, 12365
5, fes, 1999542913617.30, 9.07, 13276
5, fes, 2018841943936.81, 9.67, 14174
5, fes, 2014064687130.82, 10.27, 15040
5, fes, 1990879529457.89, 10.87, 15948
5, fes, 1987285716210.87, 11.47, 16854
5, fes, 1982221276444.39, 12.07, 17736
5, fes, 1989707417300.03, 12.67, 18611
5, fes, 1984716027439.15, 13.27, 19458
5, fes, 1990999446726.35, 13.87, 20277
5, fes, 2002844825722.72, 14.47, 21101
5, fes, 2016423541037.55, 15.07, 21889
5, fes, 2015033669841.59, 15.67, 22678
5, fes, 2018253239034.52, 16.27, 23450
5, fes, 2014189593878.33, 16.87, 24258
5, fes, 2019907894830.06, 17.47, 25032
5, fes, 2029879774789.23, 18.07, 25806
5, fes, 2034171045500.43, 18.67, 26571
5, fes, 2030861003761.75, 19.27, 27354
5, fes, 2023841500952.20, 19.87, 28138
5, fes, 2027395871998.85, 20.47, 28927
5, fes, 2023743235248.44, 21.08, 29719
5, fes, 2029412410996.66, 21.68, 30501
5, fes, 2030320102701.51, 22.28, 31287
5, fes, 2032170300668.33, 22.88, 32065
5, fes, 2034854390815.08, 23.48, 32855
5, fes, 2033149868081.97, 24.08, 33659
5, fes, 2032998980620.75, 24.68, 34436
5, fes, 2031559828447.79, 25.28, 35250
5, fes, 2033523593393.50, 25.88, 36089
5, fes, 2030896266284.30, 26.48, 36959
5, fes, 2025405572085.37, 27.08, 37865
5, fes, 2024883009756.48, 27.68, 38763
5, fes, 2029700840917.00, 28.28, 39655
5, fes, 2030492826502.66, 28.88, 40537
5, fes, 2030391835431.44, 29.48, 41436
5, fes, 2032948359428.90, 30.08, 42298
5, fes, 2031905808762.69, 30.68, 43143
5, fes, 2032332085739.02, 31.28, 43988
5, fes, 2034874371702.75, 31.88, 44859
5, fes, 2039761056181.02, 32.49, 45763
5, fes, 2038861926237.41, 33.10, 46664
5, fes, 2034435297178.10, 33.71, 47584
5, fes, 2032571138345.06, 34.32, 48499
5, fes, 2034815726811.51, 34.93, 49413
5, fes, 2031401764204.70, 35.54, 50312
5, fes, 2032745553296.63, 36.15, 51229
5, fes, 2029778399378.48, 36.76, 52170
5, fes, 2027636461535.22, 37.37, 53041
5, fes, 2026047894746.18, 37.98, 53930
5, fes, 2021978572064.34, 38.59, 54843
5, fes, 2023273225193.07, 39.20, 55729
5, fes, 2021909435407.04, 39.81, 56598
5, fes, 2029505463874.96, 40.42, 57477
5, fes, 2028562898070.71, 41.03, 58349
5, fes, 2028664625986.18, 41.64, 59198
5, fes, 2026654332425.60, 42.25, 60038
5, fes, 2024099643036.27, 42.86, 60889
5, fes, 2025338763049.50, 43.47, 61705
5, fes, 2026407088489.57, 44.08, 62503
5, fes, 2022621930644.66, 44.69, 63380
5, fes, 2021455312223.00, 45.30, 64228
5, fes, 2025846137784.60, 45.91, 65033
5, fes, 2023801166757.73, 46.52, 65865
5, fes, 2022880476243.18, 47.13, 66715
5, fes, 2022644268483.36, 47.74, 67555
5, fes, 2023629653716.22, 48.35, 68398
5, fes, 2030884509091.04, 48.96, 69241
5, fes, 2031672932977.94, 49.57, 70057
5, fes, 2030564023010.79, 50.18, 70898
5, fes, 2032740406807.78, 50.79, 71702
5, fes, 2038276209939.51, 51.40, 72508
5, fes, 2033936564829.93, 52.01, 73327
5, fes, 2034630167791.94, 52.62, 74136
5, fes, 2033991518886.01, 53.23, 74951
5, fes, 2031392302614.00, 53.84, 75777
5, fes, 2028515915524.72, 54.45, 76624
5, fes, 2031440615493.31, 55.06, 77506
5, fes, 2035851551227.23, 55.67, 78347
5, fes, 2038209047330.75, 56.28, 79199
5, fes, 2039061369683.03, 56.89, 80045
5, fes, 2038521960658.22, 57.50, 80926
5, fes, 2041981754981.72, 58.11, 81790
5, fes, 2040007727428.66, 58.72, 82679
5, fes, 2040212091777.62, 59.33, 83535
5, fes, 2048778206276.92, 59.94, 84404
6, fes, 7168590523689.09, 0.01, 13
6, fes, 1964403853173.92, 0.62, 882
6, fes, 2055374957135.73, 1.23, 1754
6, fes, 2088537303996.64, 1.84, 2650
6, fes, 2059694956928.61, 2.45, 3543
6, fes, 2065133945008.84, 3.06, 4425
6, fes, 2051499864879.08, 3.67, 5307
6, fes, 2074855524889.16, 4.27, 6168
6, fes, 2074082166139.65, 4.87, 7040
6, fes, 2090880876528.77, 5.47, 7926
6, fes, 2066731586300.03, 6.07, 8816
6, fes, 2069918665856.65, 6.67, 9713
6, fes, 2049275337131.82, 7.27, 10600
6, fes, 2065441348065.35, 7.87, 11493
6, fes, 2044592612058.78, 8.47, 12386
6, fes, 2042520723459.17, 9.07, 13269
6, fes, 2054539253289.53, 9.67, 14178
6, fes, 2052333452592.58, 10.27, 15037
6, fes, 2046591463417.17, 10.87, 15926
6, fes, 2040296013794.87, 11.47, 16813
6, fes, 2033812626382.29, 12.07, 17684
6, fes, 2023776857781.01, 12.67, 18551
6, fes, 2037620429815.50, 13.27, 19382
6, fes, 2039306204160.27, 13.87, 20194
6, fes, 2034947485289.52, 14.47, 20982
6, fes, 2045454529653.91, 15.07, 21758
6, fes, 2043530572381.70, 15.67, 22544
6, fes, 2036190529258.04, 16.27, 23329
6, fes, 2040734534751.52, 16.87, 24137
6, fes, 2045324315024.36, 17.47, 24940
6, fes, 2050494233845.58, 18.07, 25731
6, fes, 2048336697104.08, 18.67, 26501
6, fes, 2052777628762.76, 19.27, 27302
6, fes, 2037870926874.16, 19.87, 28070
6, fes, 2050525040249.91, 20.47, 28855
6, fes, 2049336766944.23, 21.07, 29639
6, fes, 2050931178795.07, 21.67, 30429
6, fes, 2043967547031.77, 22.27, 31237
6, fes, 2028803207530.20, 22.87, 32036
6, fes, 2029299136236.81, 23.47, 32808
6, fes, 2025347116431.18, 24.07, 33606
6, fes, 2025297393650.85, 24.67, 34432
6, fes, 2021188947178.80, 25.27, 35293
