exp_rep, bfly, algo, time, iterations
6, fes, 100271602532821.57, 40.41, 28608
6, fes, 100284505068184.95, 41.02, 29083
6, fes, 100289276160090.20, 41.63, 29546
6, fes, 100513951874389.19, 42.24, 30021
6, fes, 100371031710251.30, 42.85, 30493
6, fes, 100380944383524.87, 43.46, 30983
6, fes, 100735420590904.06, 44.07, 31461
6, fes, 100531317530490.86, 44.68, 31943
6, fes, 100530227567676.48, 45.29, 32396
6, fes, 100541382400724.18, 45.90, 32847
6, fes, 100255897030880.64, 46.51, 33296
6, fes, 100284332047164.08, 47.12, 33737
6, fes, 100211293789861.21, 47.73, 34175
6, fes, 100125685270102.97, 48.34, 34616
6, fes, 100328510692672.55, 48.96, 35049
6, fes, 100398835113348.67, 49.57, 35486
6, fes, 100281292264490.86, 50.18, 35911
6, fes, 100446395843821.76, 50.79, 36337
6, fes, 100366087807115.36, 51.40, 36767
6, fes, 100302053354519.59, 52.01, 37190
6, fes, 100219374023242.50, 52.62, 37614
6, fes, 100210411449657.40, 53.23, 38039
6, fes, 100277539659267.36, 53.85, 38466
6, fes, 100267740411760.16, 54.46, 38896
6, fes, 100323039086281.20, 55.07, 39316
6, fes, 100443197235346.71, 55.68, 39732
6, fes, 100516477488292.24, 56.29, 40152
6, fes, 100490190416609.62, 56.90, 40572
6, fes, 100549576184894.27, 57.51, 40987
6, fes, 100519517706797.95, 58.12, 41407
6, fes, 100502499950777.82, 58.73, 41821
6, fes, 100500830049874.98, 59.34, 42241
6, fes, 100403179369563.86, 59.95, 42657
7, fes, 54513816625429.91, 0.01, 4
7, fes, 96354368886196.50, 0.62, 425
7, fes, 102014335636620.29, 1.23, 847
7, fes, 98708815956410.38, 1.84, 1263
7, fes, 97621352024574.55, 2.45, 1678
